Country Name,Country Code,Indicator Name,Indicator Code,2015
Aruba,ABW,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Afghanistan,AFG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.35507
Angola,AGO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Albania,ALB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.97592
Andorra,AND,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Netherlands Antilles,ANT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Arab World,ARB,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.95301
United Arab Emirates,ARE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Argentina,ARG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.13616
Armenia,ARM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.64186
American Samoa,ASM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Antigua and Barbuda,ATG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.73597
Australia,AUS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.95643
Austria,AUT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.91515
Azerbaijan,AZE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Burundi,BDI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.2713
Belgium,BEL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,15.63805
Benin,BEN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.01195
Burkina Faso,BFA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.96531
Bangladesh,BGD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Bulgaria,BGR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.6939
